display_name,category,parent_brand,value_key,payer_id,notes
Howard Baer Inc,Commercial,,howard-baer-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Humana,Medicare Advantage,Humana,humana,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Benefit Plan of Ill.,Inc.",Commercial,Humana,humana-benefit-plan-of-ill-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Benefit Plan of Illinois, Inc.",Commercial,Humana,humana-benefit-plan-of-illinois-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Employers Health Plan of Georgia, Inc.",Commercial,Humana,humana-employers-health-plan-of-georgia-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Health Benefit Plan of Louisiana, Inc.",Commercial,Humana,humana-health-benefit-plan-of-louisiana-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Health Insurance Co of FL, Inc.",Commercial,Humana,humana-health-insurance-co-of-fl-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Humana Health Plan,Commercial,Humana,humana-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Humana Health Plan Inc.,Commercial,Humana,humana-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Humana Health Plan of Ohio,Commercial,Humana,humana-health-plan-of-ohio,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Health Plan of Ohio, Inc.",Commercial,Humana,humana-health-plan-of-ohio-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Health Plan of Texas, Inc.",Commercial,Humana,humana-health-plan-of-texas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Health Plan, Inc.",Commercial,Humana,humana-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Humana Health Plan. Inc.,Commercial,Humana,humana-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Humana Health Plans of Puerto Rico,Commercial,Humana,humana-health-plans-of-puerto-rico,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Humana Insurance Co of Kentucky,Commercial,Humana,humana-insurance-co-of-kentucky,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Humana Insurance Company,Commercial,Humana,humana-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Insurance Company of Kentucky, Inc.",Commercial,Humana,humana-insurance-company-of-kentucky-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Insurance Company of New York, Inc.",Commercial,Humana,humana-insurance-company-of-new-york-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Humana Insurance of Puerto Rico,Commercial,Humana,humana-insurance-of-puerto-rico,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Medical Plan of Michigan, Inc.",Commercial,Humana,humana-medical-plan-of-michigan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Medical Plan of Utah, Inc.",Commercial,Humana,humana-medical-plan-of-utah-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Humana Medical Plan, Inc.",Commercial,Humana,humana-medical-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Humana Wisconsin Health Org. Ins. Corp.,Commercial,Humana,humana-wisconsin-health-org-ins-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Huron Valley PACE,Medicare Advantage,,huron-valley-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Hyland Software, Inc.",Commercial,,hyland-software-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
IEHP DualChoice,Medicare Advantage,,iehp-dualchoice,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"IMC Manager, LLC",Commercial,,imc-manager-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ING Life Insurance and Annuity Company,Commercial,,ing-life-insurance-and-annuity-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
ISLAND HOME INSURANCE COMPANY,Commercial,,island-home-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"IlliniCare Health Plan, Inc.",Commercial,,illinicare-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Illinois Mutual Life Insurance Company,Commercial,,illinois-mutual-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Immanuel Pathways Iowa,Medicare Advantage,,immanuel-pathways-iowa,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Immanuel Pathways Omaha,Medicare Advantage,,immanuel-pathways-omaha,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Imperial Health Plan of California, Inc.",Commercial,,imperial-health-plan-of-california-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Imperial Health Plan of California, Inc.",Medicare Advantage,,imperial-health-plan-of-california-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Imperial Health Plan of the Southwest, Inc.",Commercial,,imperial-health-plan-of-the-southwest-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Imperial Insurance Companies, Inc.",Commercial,,imperial-insurance-companies-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InStil Health Insurance Company,Commercial,,instil-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Independence American Ins Co,Commercial,,independence-american-ins-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Independence American Insurance Company,Commercial,,independence-american-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Independence Assurance Company,Commercial,,independence-assurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Independence Blue Cross,Medicare Advantage,Blue Cross Blue Shield,independence-blue-cross,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Independence Blue Cross (QCC Ins. Co.),Commercial,Blue Cross Blue Shield,independence-blue-cross-qcc-ins-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Independence Hospital Indemnity Plan, Inc.",Commercial,,independence-hospital-indemnity-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Independent Health,Medicare Advantage,,independent-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Independent Health Association, Inc",Commercial,,independent-health-association-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Independent Health Benefits Corporation,Commercial,,independent-health-benefits-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Independent Living Srvcs Of Central Ny,Medicare Advantage,,independent-living-srvcs-of-central-ny,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Independent Living for Seniors, Inc",Commercial,,independent-living-for-seniors-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Indiana University Health Plans, Inc.",Commercial,,indiana-university-health-plans-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Inland Empire Health Plan,Commercial,,inland-empire-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge California PACE,Medicare Advantage,,innovage-california-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge California PACE - Crenshaw,Medicare Advantage,,innovage-california-pace-crenshaw,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge California PACE - Sacramento,Medicare Advantage,,innovage-california-pace-sacramento,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge Colorado PACE,Medicare Advantage,,innovage-colorado-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge Florida PACE - Orlando,Medicare Advantage,,innovage-florida-pace-orlando,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge Florida PACE - Tampa,Medicare Advantage,,innovage-florida-pace-tampa,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge New Mexico PACE,Medicare Advantage,,innovage-new-mexico-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge Pennsylvania LIFE,Medicare Advantage,,innovage-pennsylvania-life,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge Virginia PACE - Blue Ridge,Medicare Advantage,,innovage-virginia-pace-blue-ridge,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge Virginia PACE - Richmond and Peninsula,Medicare Advantage,,innovage-virginia-pace-richmond-and-peninsula,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
InnovAge Virginia PACE- Roanoke Valley,Medicare Advantage,,innovage-virginia-pace-roanoke-valley,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Innovation Health Insurance Company,Commercial,,innovation-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Innovation Health Plan, Inc.",Commercial,,innovation-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Innovative Integrated Health Inc.,Medicare Advantage,,innovative-integrated-health-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Inovalon, Inc",Commercial,,inovalon-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Inspira Health Network LIFE,Medicare Advantage,Health Net (Centene),inspira-health-network-life,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Institute for Defense Analyses,Commercial,,institute-for-defense-analyses,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Integon National Insurance Company,Commercial,,integon-national-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"IntelliBenefits Insurance Services, Inc.",Commercial,,intellibenefits-insurance-services-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Inter-County Health Plan,Commercial,,inter-county-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Inter-County Hospital Plan,Commercial,,inter-county-hospital-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Interface, Inc.",Commercial,,interface-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Intermountain Health Care Inc. (dba Intermountain,Commercial,,intermountain-health-care-inc-dba-intermountain,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
International Community Health Services,Medicare Advantage,,international-community-health-services,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"International Healthcare Services, Inc.",Commercial,,international-healthcare-services-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Investors Life Insurance Company of North America,Commercial,,investors-life-insurance-company-of-north-america,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Iowa Health Advantage,Medicare Advantage,,iowa-health-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Iowa Pacific Holdings, LLC",Commercial,,iowa-pacific-holdings-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Iowa Total Care, Inc.",Commercial,,iowa-total-care-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Itasca Medical Care/IMCare Classic,Medicare Advantage,,itasca-medical-care-imcare-classic,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Ivey Mechanical Company, LLC",Commercial,,ivey-mechanical-company-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"J & M Manufacturing Co., Inc.",Commercial,,j-and-m-manufacturing-co-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"JPS Industries, Inc.",Commercial,,jps-industries-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Jack in the Box Inc.,Commercial,,jack-in-the-box-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Jack's Family Restaurants, Inc.",Commercial,,jack-s-family-restaurants-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
James M Pleasants Co,Commercial,,james-m-pleasants-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Jayco Inc,Commercial,,jayco-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Jefferson Bank of Missouri,Commercial,,jefferson-bank-of-missouri,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Jefferson Health Plans,Medicare Advantage,,jefferson-health-plans,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Jefferson Life Insurance Company,Commercial,,jefferson-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
John A Van Den Bosch Co,Commercial,,john-a-van-den-bosch-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
John Alden Life Insurance Company,Commercial,,john-alden-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Johns Hopkins Advantage MD,Medicare Advantage,,johns-hopkins-advantage-md,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Johns Manville,Commercial,,johns-manville,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Jones Lang LaSalle Americas, Inc.",Commercial,,jones-lang-lasalle-americas-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Jordan Valley Senior Care,Medicare Advantage,,jordan-valley-senior-care,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
K-Day PACE,Medicare Advantage,,k-day-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"KALAMAZOO ANESTHESIOLOGY, P.C.",Commercial,,kalamazoo-anesthesiology-p-c,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
KINGS HEALTH BROKERAGE,Commercial,,kings-health-brokerage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
KPS Health Plans,Commercial,,kps-health-plans,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"KS Plan Administrators, LLC",Commercial,,ks-plan-administrators-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kaiser Foundation Health Plan of Colo.,Commercial,Kaiser Permanente,kaiser-foundation-health-plan-of-colo,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kaiser Foundation Health Plan of Georgia,Commercial,Kaiser Permanente,kaiser-foundation-health-plan-of-georgia,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Kaiser Foundation Health Plan of Georgia, Inc.",Commercial,Kaiser Permanente,kaiser-foundation-health-plan-of-georgia-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Kaiser Foundation Health Plan of Mid-Atlantic States, Inc.",Commercial,Kaiser Permanente,kaiser-foundation-health-plan-of-mid-atlantic-states-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kaiser Foundation Health Plan of Washington,Commercial,Kaiser Permanente,kaiser-foundation-health-plan-of-washington,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Kaiser Foundation Health Plan of Washington Options, Inc.",Commercial,Kaiser Permanente,kaiser-foundation-health-plan-of-washington-options-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",Commercial,Kaiser Permanente,kaiser-foundation-health-plan-of-the-mid-atlantic-states-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kaiser Foundation Health Plan of the Northwest,Commercial,Kaiser Permanente,kaiser-foundation-health-plan-of-the-northwest,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Kaiser Foundation Health Plan, Inc.",Commercial,Kaiser Permanente,kaiser-foundation-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kaiser Foundation Healthplan of the NW,Commercial,Kaiser Permanente,kaiser-foundation-healthplan-of-the-nw,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kaiser Permanente,Medicare Advantage,Kaiser Permanente,kaiser-permanente,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kaiser Permanente Insurance Company,Commercial,Kaiser Permanente,kaiser-permanente-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kanawha Insurance Company,Commercial,,kanawha-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kansas City Life Insurance Company,Commercial,,kansas-city-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kansas Health Advantage,Medicare Advantage,,kansas-health-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
KelseyCare Advantage,Medicare Advantage,,kelseycare-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kentucky Health Cooperative,Commercial,,kentucky-health-cooperative,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
KeyCare Advantage,Medicare Advantage,,keycare-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Keystone Family Health Plan,Commercial,,keystone-family-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Keystone Health Plan Central,Commercial,,keystone-health-plan-central,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Keystone Health Plan East, Inc",Commercial,,keystone-health-plan-east-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Kinder Morgan, Inc",Commercial,,kinder-morgan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Kirby Corporation,Commercial,,kirby-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Knights of Columbus,Commercial,,knights-of-columbus,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
L.A. Care Health Plan,Medicare Advantage,,l-a-care-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"LIBERTY Dental Plan of California, Inc.",Commercial,,liberty-dental-plan-of-california-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"LIBERTY Dental Plan of Florida, Inc.",Commercial,,liberty-dental-plan-of-florida-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIBERTY Dental Plan of Missouri,Commercial,,liberty-dental-plan-of-missouri,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"LIBERTY Dental Plan of Nevada, Inc.",Commercial,,liberty-dental-plan-of-nevada-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIFE Armstrong,Medicare Advantage,,life-armstrong,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIFE Beaver and Lawrence Counties,Medicare Advantage,,life-beaver-and-lawrence-counties,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIFE Butler County,Medicare Advantage,,life-butler-county,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIFE COORDINATED COMMONWEALTH PACE INC,Medicare Advantage,,life-coordinated-commonwealth-pace-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIFE Geisinger,Medicare Advantage,,life-geisinger,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIFE Northwestern Pennsylvania,Medicare Advantage,,life-northwestern-pennsylvania,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"LIFE PACE, INC.",Medicare Advantage,,life-pace-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIFE Pittsburgh,Medicare Advantage,,life-pittsburgh,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIFE St. Joseph of the Pines,Medicare Advantage,,life-st-joseph-of-the-pines,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIFE St. Mary,Medicare Advantage,,life-st-mary,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LIFECIRCLES,Medicare Advantage,,lifecircles,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Lake Hospital System, Inc. dba Lake Health",Commercial,,lake-hospital-system-inc-dba-lake-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Lakeview Academy of Arts, Science and Technology",Commercial,,lakeview-academy-of-arts-science-and-technology,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Land of Lincoln Mutual Health Insurance Company,Commercial,,land-of-lincoln-mutual-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Landauer, Inc.",Commercial,,landauer-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Landmark U.S. Holdings, LLC",Commercial,,landmark-u-s-holdings-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Lani Eko & Company,Commercial,,lani-eko-and-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Lawndale Christian Health Center,Medicare Advantage,,lawndale-christian-health-center,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Leon Health, Inc.",Medicare Advantage,,leon-health-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Liberty Medicare Advantage,Medicare Advantage,,liberty-medicare-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Liberty Mutual Insurance Company,Commercial,,liberty-mutual-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Liberty National Life Insurance Co,Commercial,,liberty-national-life-insurance-co,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Liberty Union Life Assurance Company,Commercial,,liberty-union-life-assurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Life of America,Commercial,,life-of-america,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LifeMap Assurance Company,Commercial,,lifemap-assurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LifeSecure Insurance Company,Commercial,,lifesecure-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LifeWise Assurance Company,Commercial,,lifewise-assurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LifeWise Health Plan of Oregon,Commercial,,lifewise-health-plan-of-oregon,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
LifeWise Health Plan of WA,Commercial,,lifewise-health-plan-of-wa,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Lifeworks Advantage,Medicare Advantage,,lifeworks-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Lincoln Life & Annuity Company of New York,Commercial,,lincoln-life-and-annuity-company-of-new-york,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Local Initiative Health Authority for Los Angeles County,Commercial,,local-initiative-health-authority-for-los-angeles-county,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Loews Hotels at Universal Orlando,Commercial,,loews-hotels-at-universal-orlando,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Loma Linda University Health PACE,Medicare Advantage,,loma-linda-university-health-pace,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Longevity Health,Medicare Advantage,,longevity-health,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Longevity Health Plan,Medicare Advantage,,longevity-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Longevity Health Plan of Colorado, Inc.",Commercial,,longevity-health-plan-of-colorado-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Longevity Health Plan of Michigan, Inc.",Commercial,,longevity-health-plan-of-michigan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Longevity Health Plan of North Carolina, Inc.",Commercial,,longevity-health-plan-of-north-carolina-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Louisiana Health Cooperative, Inc.",Commercial,,louisiana-health-cooperative-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Louisiana Health Service & Indemnity Company,Commercial,,louisiana-health-service-and-indemnity-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Louisiana Healthcare Connections,Commercial,,louisiana-healthcare-connections,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Lovelace Health System, Inc.",Commercial,,lovelace-health-system-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Lovelace Insurance Company,Commercial,,lovelace-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Loyal American Life Insurance Company,Commercial,,loyal-american-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Lutheran Senior LIFE,Medicare Advantage,,lutheran-senior-life,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
M&T Bank Corporation,Commercial,,m-and-t-bank-corporation,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MAMSI Life and Health Insurance Company,Commercial,,mamsi-life-and-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MAMSI Life and Health Insurance Company,Commercial,,mamsi-life-and-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MAPFRE Life Insurance Company,Commercial,,mapfre-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MCNA Insurance Company,Commercial,,mcna-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MCS ADVANTAGE, INC.",Commercial,,mcs-advantage-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MCS Classicare,Medicare Advantage,,mcs-classicare,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MCS Life Insurance Company,Commercial,,mcs-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MD-Individual Practice Assocation, Inc",Commercial,,md-individual-practice-assocation-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MDC Holdings, Inc",Commercial,,mdc-holdings-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MDwise Marketplace, Inc.",Commercial,,mdwise-marketplace-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MDwise, Inc.",Commercial,,mdwise-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
METRO METALS NORTHWEST INC,Commercial,,metro-metals-northwest-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MG Insurance Company,Medicare Advantage,,mg-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MMM Healthcare, LLC.",Commercial,,mmm-healthcare-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MOLINA HEALTHCARE OF CALIFORNIA,Commercial,Molina Healthcare,molina-healthcare-of-california,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC",Commercial,Molina Healthcare,molina-healthcare-of-south-carolina-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MONY Life Insurance Company,Commercial,,mony-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MPG Operations, LLC",Commercial,,mpg-operations-llc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MVP HEALTH CARE,Medicare Advantage,,mvp-health-care,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MVP Health Insurance Company,Commercial,,mvp-health-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MVP Health Insurance Company of New Hampshire, Inc.",Commercial,,mvp-health-insurance-company-of-new-hampshire-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MVP Health Plan of New Hampshire, Inc.",Commercial,,mvp-health-plan-of-new-hampshire-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"MVP Health Plan, Inc.",Commercial,,mvp-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
MVP Health Services Corp.,Commercial,,mvp-health-services-corp,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Madison National Life,Commercial,,madison-national-life,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Madison National Life Insurance Company,Commercial,,madison-national-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Madison National Life Insurance Company, Inc.",Commercial,,madison-national-life-insurance-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Magnolia Health Plan,Commercial,,magnolia-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Maine Community Health Options,Commercial,,maine-community-health-options,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
