display_name,category,parent_brand,value_key,payer_id,notes
"Align Senior Care Florida, Inc.",Commercial,,align-senior-care-florida-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Align powered by Sanford Health Plan,Medicare Advantage,,align-powered-by-sanford-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Alignment Health Plan,Medicare Advantage,,alignment-health-plan,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Alignment Health Plan (f/k/a Honored Citizen's Choice Health Plan, Inc.)",Commercial,,alignment-health-plan-f-k-a-honored-citizen-s-choice-health-plan-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
All Savers Insurance Company,Commercial,,all-savers-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
All Savers Life Insurance Company of California,Commercial,,all-savers-life-insurance-company-of-california,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"All States Ag Parts, Inc",Commercial,,all-states-ag-parts-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
AllCare Advantage,Medicare Advantage,,allcare-advantage,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Allegian Insurance Company,Commercial,,allegian-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Allegiance Life & Health Insurance Company, Inc.",Commercial,,allegiance-life-and-health-insurance-company-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Allegiance Life & Health Insurance, Inc.",Commercial,,allegiance-life-and-health-insurance-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Alliance Health and Life Insurance Company,Commercial,,alliance-health-and-life-insurance-company,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Alliant Health Plans,Commercial,,alliant-health-plans,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
"Alliant Health Plans, Inc.",Commercial,,alliant-health-plans-inc,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Allianz Life Insurance Company of New York,Commercial,,allianz-life-insurance-company-of-new-york,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
Allianz Life Insurance Company of North America,Commercial,,allianz-life-insurance-company-of-north-america,,Source: CMS list provided; payer IDs vary by clearinghouse/plan.
